==========================================
LM-EVAL HARNESS BENCHMARK   
 MODE: STANDARD FP16 BASELINE
==========================================
[*] Warming up HIPBLAS context...

[1] Loading Base Tokenizer & HF Architecture from /home/lolollo/models/quant/qwen25_7b...

[2] Skipping V36 Injection -> Running Standard FP16 Baseline.

[3] Wrapping Model in EleutherAI HFLM Interface...

[4] Firing up the harness for tasks: ['arc_challenge', 'hellaswag', 'mmlu']

============================================================
 RESULTS: FP16 BASELINE
============================================================
|                 Tasks                 |Version|Filter|n-shot| Metric |   |Value |   |Stderr|
| - other                               |      2|none  |      |acc     |↑  |0.7676|±  |0.0072|
|  - business_ethics                    |      1|none  |     0|acc     |↑  |0.7600|±  |0.0429|
|  - clinical_knowledge                 |      1|none  |     0|acc     |↑  |0.7698|±  |0.0259|
|  - college_medicine                   |      1|none  |     0|acc     |↑  |0.6879|±  |0.0353|
|  - global_facts                       |      1|none  |     0|acc     |↑  |0.4200|±  |0.0496|
|  - human_aging                        |      1|none  |     0|acc     |↑  |0.7713|±  |0.0282|
|  - management                         |      1|none  |     0|acc     |↑  |0.8932|±  |0.0306|
|  - marketing                          |      1|none  |     0|acc     |↑  |0.9316|±  |0.0165|
|  - medical_genetics                   |      1|none  |     0|acc     |↑  |0.8600|±  |0.0349|
|  - miscellaneous                      |      1|none  |     0|acc     |↑  |0.8595|±  |0.0124|
|  - nutrition                          |      1|none  |     0|acc     |↑  |0.8007|±  |0.0229|
|  - professional_accounting            |      1|none  |     0|acc     |↑  |0.5603|±  |0.0296|
|  - professional_medicine              |      1|none  |     0|acc     |↑  |0.7794|±  |0.0252|
|  - virology                           |      1|none  |     0|acc     |↑  |0.5301|±  |0.0389|
| - social sciences                     |      2|none  |      |acc     |↑  |0.8258|±  |0.0067|
|  - econometrics                       |      1|none  |     0|acc     |↑  |0.6228|±  |0.0456|
|  - high_school_geography              |      1|none  |     0|acc     |↑  |0.8889|±  |0.0224|
|  - high_school_government_and_politics|      1|none  |     0|acc     |↑  |0.9378|±  |0.0174|
|  - high_school_macroeconomics         |      1|none  |     0|acc     |↑  |0.7846|±  |0.0208|
|  - high_school_microeconomics         |      1|none  |     0|acc     |↑  |0.8866|±  |0.0206|
|  - high_school_psychology             |      1|none  |     0|acc     |↑  |0.8936|±  |0.0132|
|  - human_sexuality                    |      1|none  |     0|acc     |↑  |0.8244|±  |0.0334|
|  - professional_psychology            |      1|none  |     0|acc     |↑  |0.7778|±  |0.0168|
|  - public_relations                   |      1|none  |     0|acc     |↑  |0.6818|±  |0.0446|
|  - security_studies                   |      1|none  |     0|acc     |↑  |0.7755|±  |0.0267|
|  - sociology                          |      1|none  |     0|acc     |↑  |0.8507|±  |0.0252|
|  - us_foreign_policy                  |      1|none  |     0|acc     |↑  |0.8900|±  |0.0314|
| - stem                                |      2|none  |      |acc     |↑  |0.7028|±  |0.0079|
|  - abstract_algebra                   |      1|none  |     0|acc     |↑  |0.5400|±  |0.0501|
|  - anatomy                            |      1|none  |     0|acc     |↑  |0.7185|±  |0.0389|
|  - astronomy                          |      1|none  |     0|acc     |↑  |0.8355|±  |0.0302|
|  - college_biology                    |      1|none  |     0|acc     |↑  |0.8333|±  |0.0312|
|  - college_chemistry                  |      1|none  |     0|acc     |↑  |0.5500|±  |0.0500|
|  - college_computer_science           |      1|none  |     0|acc     |↑  |0.7000|±  |0.0461|
|  - college_mathematics                |      1|none  |     0|acc     |↑  |0.5200|±  |0.0502|
|  - college_physics                    |      1|none  |     0|acc     |↑  |0.5000|±  |0.0498|
|  - computer_security                  |      1|none  |     0|acc     |↑  |0.8300|±  |0.0378|
|  - conceptual_physics                 |      1|none  |     0|acc     |↑  |0.7319|±  |0.0290|
|  - electrical_engineering             |      1|none  |     0|acc     |↑  |0.6966|±  |0.0383|
|  - elementary_mathematics             |      1|none  |     0|acc     |↑  |0.7407|±  |0.0226|
|  - high_school_biology                |      1|none  |     0|acc     |↑  |0.8710|±  |0.0191|
|  - high_school_chemistry              |      1|none  |     0|acc     |↑  |0.6552|±  |0.0334|
|  - high_school_computer_science       |      1|none  |     0|acc     |↑  |0.8700|±  |0.0338|
|  - high_school_mathematics            |      1|none  |     0|acc     |↑  |0.5704|±  |0.0302|
|  - high_school_physics                |      1|none  |     0|acc     |↑  |0.6026|±  |0.0400|
|  - high_school_statistics             |      1|none  |     0|acc     |↑  |0.6898|±  |0.0315|
|  - machine_learning                   |      1|none  |     0|acc     |↑  |0.6250|±  |0.0460|
